id,review,labels
6958,"These are so, so good. Keep 'em coming!",Positive
6566,Imagine breaking a chocolate chip cookie & mixing it with vanilla soft serve ice cream & you will get this amazing non-dairy alternative flavor! Perfect for the lactose intolerant or if you are cutting down on your dairy intake.,Positive
7801,We love these. Great texture. No sugar is a plus. My boyfriend and I fight over them.,Positive
13241,Working great to replace the battery on my Ring contact sensors.,Positive
8310,Confetti Cookies by milk bar. I'm kinda on the fence about these they are really moist just like I like but I'm just not big on the flavor. [This review was collected as part of a promotion.],Neutral
4324,Was OK. Meh. Just as good as competitors at 1/3 of the price. Wouldn't buy again. If I'm going to indulge financially and calorie wise- I expect something more.. wow factorish,Negative
4311,By far the most addicting flavor EVER I love this brand and everything they stand for!,Positive
4325,"I love the combination of Cookue dough and brownie bits in this ice cream! I do wish they would add more brownie bits to it, it seems like there is never enough. The brownies are nice and soft and super delicious.",Positive
10017,So help me God I am going to be a whale by the end of 2020....,Positive
4306,"I buy this flavor of Ben & Jerry's all the time. It's a hit with everyone in my family, as well as with my friends, and is probably their best flavor. Ever.",Positive
6960,The Sweet Fish were great - loved the flavor and the fact it was much better for you and handled my sweet tooth. I will order more!!!,Positive
6961,Really curbs my sweets craving!,Positive
6962,Love love love,Positive
4307,Ben and Jerrys is always amazing and they have the best tasting ice cream. So delicious and there are no other brands like it !,Positive
4309,"This is really good. It can be a lil too chocolatey for me, but its still really delicious.",Positive
18950,[This review was collected as part of a promotion.] This cookie is VERY good. I am actually shocked at how good it tastes. Crumble is wonderful and the inside of the cookie is soft!,Positive
4312,Absolute favorite icecream in the ben and jerrys line. I always go to the store and pick this up when I need a icecream break,Positive
4313,If you can't pick between cookie dough or brownie this is the one you should get!! It's a mixture between the both and what's better than that?? Nothing. Go get it!,Positive
4314,Yaaaass!! Best ice cream flavor ever!. I mean come in huge and I mean HIGE chinks of brownie and cookie dough. Love it!!,Positive
4315,Best Ben and Jerry's flavour ever! So amazing and full of flavour! Definitely affordable for the quality! Eat this like once a week! Absolutely amazing and anyone who hasn't tried it it's so good! Cookie dough and brownie dough!,Positive
4316,"A movie, a fireplace, a cry fest, this ice cream is the go-to for whatever your night holds. Will buy over and over!",Positive
4318,"The best and most rich flavor in Ben & Jerry's flavor arsenal, Half Baked provides consumers with a mash up of two extremely popular batter flavors Cookie Dough and Brownie Batter. Blending these two amazing flavors with vanilla and chocolate ice cream provides a snaking experience unlike any other.",Positive
4317,I love Ben & Jerry's ice creams! They are a quite a bit more pricey than the other ice creams but it makes a lovely treat.,Positive
4320,Best icecream flavour that they make at Ben and jerry's! Perfect mix of the cookie dough and brownie batter,Positive
4304,this was always my favorite b&j flavor. So good. I love the mix of brownie and cookie dough,Positive
7679,They are very tasty and of good quality.Thank you.,Positive
13387,APC makes great UPS's. This one is doing exactly what I wanted and is working fine. In use for a while now and I am happy camper!,Positive
2501,The cookies were not anything special. I had seen the cookies on the Today show thought the way thy were talking about them the cookies had to be special. They weren’t. I didn’t eat one clover and the Birthday flavor cookies sit unopened.,Negative
2502,"Flavorless and artificial tasting cooking. Such a disappointment, please do not waste your money on those. I expected Milk-bar to do better.",Negative
6058,Very good ice cream I will order again,Positive
18883,"The drive died after 2 years, very short life span. I have 2.5inch drives & 3.5 inch that are over 7-9 years old and still running. Disappointing considering the price at the time of my purchase. Became unrecognizable by bios & windows. I'm lucky I changed to using it as a game drive and moved my family photos elsewhere.",Negative
4334,Perfect mix of Brownies and cookie dough combined PLUS you get chocolate and vanilla ice cream! What lore could you want!?,Positive
4330,The best flavor. I love brownie batter and cookie dough. It's just so good okay. Worth it,Positive
6572,"The only thing wrong with this ice cream is it isnt in a gallon container. Hands down the best non dairy ice cream I have tried, and I have tried almost all of them. If you like Oreo or Chips Ahoy dunked in milk you will love this!",Positive
6963,These are amazing!! I love that I can indulge without ruining my diet goals- and my kids love them too!,Positive
4331,"A guilty pleasure to say the least. This ice cream has brownies, cookie dough, chocolate and vanilla ice cream. Such a good combination for when you're feeling something sweet.",Positive
13242,"I have an August Lock that chews threw the batteries (grand central station at this house!). For that I need a supply of CR123 batteries to feed the beast. I found that these batteries have the same longevity as the Top dollar brands out there, and at a significantly lower price. I use these with confidence and find them the right capacity for me.",Positive
4333,"Favorite Ben& Jerry's flavor, it's creamy and the chunks of cookie dough and brownie tastes good",Positive
4335,Loooooved these when I was pregnant with my daughter !! Omg !! So good ! My sister would always buy it for me ! Love how crunchy the chocolate chips are when you bite into those cookie dough chunks ! Very delicious! I will be buying some today !,Positive
371,Excellent product.,Positive
4697,"I normally love Half Baked and tired this one by itself. Everything about it was disgusting. The brownies tasted old and crumbly, and even the ice cream tasted of freezer burn. You need to take better care of your products. I normally love your ice cream.",Negative
4699,"I have tried this ice cream on multiple occasions, it is seriously the best ice cream ever!",Positive
4701,"This flavor used to be a favorite of mine, but the last few times I have purchased this flavor over the past few months, no matter what store, the ice cream itself has been great...but the brownie chunks were dry and crumbly! I had purchased Half Baked as well, and the brownie chunks were AMAZING!! I hope something can be figured out so it can be a return to being in my good graces again!!",Neutral
4702,Love this ice cream the brownies are so soft and delicious,Positive
4870,Every time I go to a scoop shop or the Vermont factory I get myself a big helping of Americone Dream. IT IS THE BEST.,Positive
4329,"The ben and jerrys half baked icecream has chocolate, vanilla flavors, and marshmellow cream inside.",Positive
4332,"This is my favorite flavor of Ben & Jerry's ice cream! Love it! It is a bit pricey, but when it's on sale, I stock up.",Positive
4336,"For years, this chocolate and vanilla duo mixed with cookie dough and brownie bits has blown my mind. For ever my go-to",Positive
4703,GREAT ICE CREAM OVERALL!!!!!!!!!!!!!!!!!!!!!!!!!!!,Positive
4337,"Nothing touches the flavor of Ben and Jerry's, love the new products they are always trying new things and it shows great innovation. Half baked is just a classic of theirs that will always be my go to for movie nights in.",Positive
4577,its pengggg how can u not love it its ac bae i stg,Positive
4338,"My favorite Ben and Jerry's flavor! Maybe even my fave ice cream in general flavor too. The chunks are big too which I like! I have had this several, several times and would recommend. Decent pricing too!",Positive
10800,It was mostly good except the peanut butter cookie dough had yucky aftertaste. My husband agreed. Unfortunately most of the chunks were peanut butter so we both had significant collections at the bottom of our pints. Normally I like anything sweet but they really were a bit nasty. The rest was delicious.,Neutral
4327,Every Mom has a hidden guilty pleasure in their kitchen...... this is mine! It hits the sweet spot every time,Positive
6661,Strawberry Chezcake is the best flavour ever; it makes my life happy.,Positive
4698,I've been in this wonderful ice cream for a long time and it is the best ice cream if you guys got  it even has brownies in it,Positive
6414,I like the taste but I stopped eating because of soybean oil content. Should be replaced with butter / coconut oil/ palm oil.,Neutral
2503,"Not only were they not the flavors I ordered, they were plain awful!!!",Negative
2504,"Good bread with seeds. I love a seedy bread sometimes, though this one doesn’t have as many seeds as other brands but it is organic. Most organic bread have a shorter shelf life than non-organic and even more true of these ones available through Fresh.My biggest gripe is with Amazon Fresh as I often receive bread that is squished. My last loaf was completely punched in. The middle of the loaf was about 25% of the size. Not really usable for sandwiches and way too dense from being squished down to enjoy in other forms. Also, do they not rotate items so that it’s first in, first out??? Almost always arrive with short expiration dates and molds quickly. Never experience these issues whenever I go to a grocery store and pick out my own loaf.Don’t bother if you know you can’t finish the loaf or freeze within a few days.",Neutral
2505,"Fabulous snack, totally surprised. was expecting a thin salted cardboard taste. if you've got children with sensitivities they'll love these.",Positive
3722,Muscle gains are faster better sleep and faster recovery. I feel stronger in the gym and finally have stamina for 2 hour workouts.,Positive
3723,"This product just makes u feel blooded after taking it . I’ve been using it for a month now thinking that at first it was just my body getting use to it , but no every time I use it it just makes me feel blooded n very uncomfortable to the point we’re u can’t enjoy ur workout",Negative
3724,Energy change was noticable. Happy with product!!!,Positive
3725,"Straightforward opinion, I like this product. There is no strange after taste, the pills are easy to swallow, and I genuinely believe that these are helping me with my progress and workouts. They came highly recommended to me by several of my friends that I've made at the gym and I am happy that I purchased them. After about 1.5 weeks of taking 2 capsules a day, I've noticed an increase in mood, energy, libido, and most importantly a decrease in my overall belly fat. I will increasing my daily intake to 2 capsules twice a day with my next bottle and hopefully will continue to see an improvement. If you are on the fence about giving this product a shot, jump on down and do it! I don't think you'll be disappointed.",Positive
3726,This product is exactly what I needed. Great booster and highly recommended!!,Positive
3727,Is great,Positive
3728,Just like taking a placebo everyday,Negative
3729,Have used HGW a bit and decided to try this. Works great! Give it a shot!,Positive
3730,Didn’t work at all. It was cheap so I didn’t expect much. You get what you pay for!,Negative
3731,Slept Good Felt Good Before and after work use them when working land scaping. 😃,Positive
3732,"effective, more energy, feel stronger",Positive
3733,I'm 52 years old and I needed to lose some weight. This product wakes up your body and it helps with workouts. You can see it and feel it during and after workouts. It helps you work out longer and recover faster.,Positive
3734,"My husband starting taking this about a month ago, so far it has helped with his energy and sleep. It’s helping in other areas too, but not expecting immediate results for a couple of months",Positive
3735,This product helps give that little edge when age starts to take its effect. It helps give that little bit of extra umpf at the gym.,Positive
3736,No bad taste. I have more energy. Can't wait to see the effects long term.,Positive
3737,I saw a dietitian and they recommended taking a T-Booster. The one they “designed “ was $250 per 30 days.I found Prime Labs and tried there product and I will never go back,Positive
3738,This product is one of my favorites for working out and getting extra energy. Its clean ingredients really do help me get the boost I was looking for. It is highly recommended for anyone looking for that little bit of extra push. Ive ordered this multiple times already and will definitely be putting another order in soon.,Positive
3739,I was fine for a day but felt nausea and then have watery runs day after. I thought I had food poisoning and waited four days to recover. Two days later I just took one this morning and now I'm back at it again. P.s. didn't really feel any positive side effects from this either and I'll be 30 in august,Negative
3740,Fake done buy,Negative
3741,My workouts be alot more intense now that I have more energy to back it up,Positive
3742,I have tried other products in the past and haven't found the gains or recovery. this seems to really well. It took a couple of days but then I really started to see gains. I'll keep using this product.,Positive
3743,"I'm already down to my second bottle I have never felt better, even my wife notice a difference when I'm with her and I haven't told her that I am taking this pills, it has help loose weight from parts of my body I always have trouble getting rid off, added strength during workout has improve (boxing/kickboxing) and energy to take additional time at the gym without wearing you down.",Positive
3744,Product is as described!,Positive
3745,My energy level increased substantially.,Positive
408,Great Overall.,Positive
3746,Great! Worth the money.,Positive
3747,Worked well,Positive
3748,"Noticeable difference in energy levels. I'm typically very lethargic and after taking this, it feels like I just have more energy in my body.",Positive
2506,Squishy? And all the add ins were stale as heck so the whole experience was wet and chewy and they all tasted the same. Wud send to an old family member who can’t taste as a gift though.,Negative
2507,Not returnable bummer they taste artificial and stale,Negative
3749,Good stuff. Good price.,Positive
3750,Order arrived just what I expected ingredients look legit can wait to give it a cycle,Positive
3751,"Great product, highly recommend!!",Positive
3752,Love the product! It obviously boosts up my stamina and work out strength! I feel my overall body energy has increased since starting to take this amazing supplement! Highly recommended!,Positive
3753,Amazing product!,Positive
3754,Great product and made here in the U.S.A.!,Positive
3755,I tried it 2 days In a row and was bloated for 48 hours apparently it's not meant for me.,Negative
3756,Works great!!!,Positive
3757,"Since taking this product, I feel like I have a lot more energy. And I seem to be more alert and focus. Would definitely recommend this product.",Positive
3758,Seems like it helped happy with product,Positive
3759,Okay,Neutral
3760,Like the product and it's effectiveness. Wish it was a capsule instead of a tablet.,Positive
6072,Great,Positive
7802,"These are SOOOO good! the absence of added sugar is so nice. I'm not sure, as I didn't do a ""scientific"" study (ie, takes pictures ahead of time), but I think that the mangoes got darker after opening the bag, which is expected since there aren't any preservatives or sulfur compounds on them!",Positive
4344,"BEST ICE CREAM FLAVOR IN THE WORLD! If you love chocolate but equally love vanilla, this is the ice cream for you.",Positive
6073,Great taste!,Positive
4343,My all time favorite ice cream! It's a bit on the expensive side but it's definitely worth it!,Positive
6967,These Sweet Fish are just the right consistency! They are a great replacement for my sugary Swedish Fish obsession.,Positive
11236,"Guilty pleasure! Perfect for the sweet tooth, lots of cookie dough pieces and chocolate chips.",Positive
18459,"This ballast has nonstandard wiring. Aside from the power wires, there are 4 red and 4 blue wires coming out of the ballast. There is no common yellow. You will have to rewire the tombstones. Usually there are 2 red, 2 blue, and 2 yellow wires coming out of the ballast. This is not a simple replacement wiring. You will need to connect either the blue/red to the yellow and remove the black jumper from the tombstone and connect it to the other red/blue wires.I purchase 4 of these ballasts but they are too much of a hassle to install. I will not purchase this ballast next time.",Neutral
4350,The best icecream I have ever eaton.So delicious. Definitely my go to comfort food  :-),Positive
4352,"Amazing! Not too glad to admit, but have had this many, many times and not planning on switching any time soon! Will forever be a staple in my freezer.",Positive
13243,I use these in my Tactical Lighting systems It lasts as long as any Named brand battery,Positive
4353,"These little things are not cheap but they are so dang good! I love the big chunks of cookie dough and brownie batter, so satisfying! I try not to eat the whole thing in one sitting hahah",Positive
4351,"Amazing!! It has chocolate ice cream, marshmallow, brownie chunks, and more! It's seriously so addicting. I would highly recommend this flavor ice cream to others! It's my number one comfort food pick!",Positive
4355,This is my favorite ice cream of all time. So delicious and wonderful flavors across the baked board,Positive
5302,"This is the greatest ice cream flavor of all time. And the guitarist it's named after is the greatest player ever, so there's that.",Positive
4356,"I love half baked, like love love it. But I have a pint that is totally missing cookie dough!",Positive
4347,"I buy this all the time, it is my favourite ice cream ever. I got some today and there were no cookie dough chunks and it made me so sad I ate the whole pint.",Positive
4357,"It's amazing! An ok icecream, it has everything you want all in one but its averge to me, I always look for something diff",Neutral
4358,"This ice cream is the ultimate ice cream, and you don't need to be half baked to enjoy it. In fact I think I will go get some right now",Positive
4871,Oh my gosh. Best ice cream out there the little chunks of cone really make this ice cream worth the money,Positive
10801,"No ""blank bites"" perfect! I love all the swirls in here, it might seem like a lot of different flavors but they really DO go together!",Positive
13244,Great value for money.. works great with my security system,Positive
13918,"Very good , it resurrected my old laptop.",Positive
2508,I love that these are so light and crispy. You wouldn't use them with dips or cheese or anything because they are flavored and are low in calories. A nice alternative to ships. My favorite flavors are the cheese and the fiery chili lime.,Positive
3761,Product help me in so many ways.,Positive
3762,I'm a Milk bar fan but these are a disappointment. How Christina Tossi signed off on these I have no clue.,Negative
3763,The cookies are the size of a silver dollar. There is no value in this product at all. The flavor was the worst I could imagine for cookies. Imagine play dough in an easy bake oven. The marketing team that leveraged the product should run political campaigns.,Negative
3764,the snacks were rancid.. the oil was bad oil and tasted nasty,Negative
4369,This is a very tasty ice cream flavor!!! I have bought this flavor many times before. It is so delicious and is my go to ice cream. I bought it from my local grocery store. I was very satisfied with this product.,Positive
4370,"This is my favourite ice cream of all time! My only complaint is the big price for the small container, but it's also worth the money so it's not a game changer for me. I will buy this ice cream until I die!",Positive
4374,I HAVE BEEN FAITHFUL TO HALFBAKED SINCE THE LONGEST TIME. THIS HAS GOT TO BE THE BEST ICECREAM I HAVE EVER HAD IN MY WHOLE LIFE AND IM 22 WHICH MEANS IVE HAD MANY YEARS OF ICECREAM EXPERIENCES. PLS SPONSER ME AND SEND ME ICECREAMS EVERY MONTH AND ILL SUPPORT U <3 <3 <3 <3,Positive
4375,"Half Baked ice cream, yes!!! It's amazing and I would recommend everyone to try it!!!",Positive
4373,This ice cream is so hard to resist! It has so much flavor and will satisfy any craving you may have! The price is worth it,Positive
4376,this is my all time favourite ice cream!! It is the perfect mix of vanilla with chocolate. I usually buy it at the grocery store for around 7 dollars. It is way better than alternatives like hagen daaz. Cheaper and better tasting will definitely purchase again,Positive
4377,Great ice cream all the flavor is there and with high quality taste. I purchase this often for home. Overall worth the price.,Positive
4379,This is my favourite of all the flavors. Love the mix of chewy brownie and huge chunks of cookie dough. Nice mix of vanilla and chocolate ice cream as well.,Positive
4380,This is the best ice cream ever. My pints always have heaps of brownie and cookie dough in them and this is perfect for people who can't choose between chocolate or vanilla. Love it!,Positive
4381,It is the best Ice Cream on the market nobody compares I absolutely love Ben & Jerry's Half Baked proud purchaser for 14 yrs.,Positive
4382,ben and jerry's is such a good ice cream. taste amazing.. all flavours do actually but this is what i pick up when i crave some ice cream,Positive
4378,My favorite! I love the cookie dough and that it is a mix of chocolate and vanilla ice cream!,Positive
4383,Go to ice cream when I'm sad is absolutely the best ice cream ever,Positive
4586,I absolutely love chocolate fudge brownie! It is a chocolate paradise but it is surprisingly not overly sweet. When the brownies are nice and moist it makes for a wonderful experience!!!,Positive
10802,This flavor does not last a day in our house! It is so delicious and the gobs of peanut butter cookie dough make it that much better.,Positive
8471,"I usually love Milk Bar products, but these were just horrible.",Negative
18461,Ahh...so much quieter and quick to light up! Will be ordering a couple more soon!,Positive
5155,I honestly can say that I am a 33 yr old woman and this is my absolute favorite ice cream that has ever crossed my path.  Do good.,Positive
11913,"Don’t waste your money. Milk Bar should fire their distributor because you’d find a better tasting cookie dumpster diving, then buying of these.",Negative
4364,I bought this a week ago for the first time and instantly fell in love. The combination is epic!,Positive
4363,I was excited for the brownies and cookie dough! All I got was plain chocolate and vanilla ice cream :( Not the adventure I imagined.,Negative
4367,This ice cream is my favorite Ben and Jerry's ice cream flavor!!!,Positive
18460,"These were just what I needed to replace the aging, weak ballasts in my basement ceiling lights. They are easy to install, just follow the wiring diagram printed on the ballasts.",Positive
18462,Just as expected. A+,Positive
18463,helpful & prompt,Positive
18464,"I used this to replace the failed ballast on a 2 lamp 18"" fixture in the garage. It is just like any other ballast you've wired and has the handy diagram on the face of the housing.This ballast has fired within 1-1.5 seconds after switched on every time I've used it, even in temperatures near zero degrees Fahrenheit when the heater failed in the garage!Exactly what i was looking for! Much better than old magnetic ballast i pulled out.",Positive
2509,"The boxed version of the chocolate chip, corn flake, marshmallow cookie is a lot smaller and softer than the store version. I like this cookie a lot, as the flavor is the same. But I LOVE the store brand version of this cookie. I added a photo of the store bought cookie purchased at Milk, in Las Vegas, at the Cosmopolitan Hotel, on the second floor (see thru pkg). I included a photo of the one I ordered on Amazon. My order came with 3 boxes of delicious cornflakes, chocolate chip, marshmallow cookies. So I gifted a box to my mom. She's a new fan of my fav cookie! They were fresh and yummy.",Positive
13245,Don’t buy these - you’ll be replacing them constantly as battery life is very short. Stick with Duracell they’re far superior.,Negative
4386,Wish I could give it 6 stars! This ice cream stays in my freezer! I'm completely obsessed,Positive
4385,This stuff has been my downfall. I've had to learn to eat it in moderation. It is my number one favorite Icecream ive ever had. My husband doesn't even have to ask what kind I want anymore it's always half baked!,Positive
4388,This is by far my favorite icecream brand. This flavor is great too! It has both chocolate and vannilla icecream,Positive
4393,"I ate a pint of this in one go. No regrets. I think this flavor is much better than Phish Food, which is another flavor of Ben and Jerry's. With both cookie dough and brownie, you can't go wrong.",Positive
4394,"Best of both worlds, chocolate & vanilla, cookie dough and brownie",Positive
3779,yumm,Positive
3780,This is the best alternative milk product on the market. It tastes amazing and the Full Fat option is the most delicious— I find it to be creamier than the Oatly creamer.,Positive
4395,wish there were larger size options and cake optionj,Positive
4396,One of the best flavors that exists!!! Totally recommended!,Positive
4397,I love half baked it is such an amazing ice cream I could eat it everyday and not get sick of it,Positive
4398,"legiterally saved my fudging liiiiifeee, and id eat 10 pints if i could",Positive
4399,enough said...!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Positive
4400,I really love the all around flavor of Strawberry Cheesecake Icecream. But honestly I don't think I tasted more than 2 tiny tiny pieces of the cheesecake. Maybe it should have been named strawberry and graham crackers.,Neutral
4872,Love the cone pieces in this ice cream and the flavor is really good I find myself eating the whole carton which is dangerous but Ben and Jerry's is always amazing and never a let down love this so much,Positive
5727,"Because Im in college and only live in a dorm, these little pints of ice cream are really convenient. Theyre small enough to fit in the small freezer space of a mini fridge. Mint chocolate chip is my favorite flavor, but every flavor of Ben & Jerrys that Ive purchased has been good.",Positive
11791,"I tried the chocolate fudge brownie about a week ago and I was a little disappointed because of the flavor. I felt like the chocolate ice cream could have tasted a bit sweeter and a lot more creamier. The ice cream tastes like water, but the brownies made it enjoyable.",Negative
4387,My fav ice cream ever. I could eat it any time. It's usually my midnight snack.,Positive
4389,"Considering the fact that chocolate ice cream isn't my favorite, the ratio was unequal",Negative
4390,My taste buds have loved me ever since I've discovered this flavor! I can no longer eat the plain chocolate chip cookie dough ice creams thanks to this amazing flavor! Truly a girls best friend!,Positive
18884,I bought this battery tester about one year ago and have encountered no problems with it some pros are that it is-1) Easy to use2) Accurate3) Great Quality for the price4) Requires no batteries itselfThis is a must have product as it support most types of batteries.,Positive
13246,"Wanted rechargeable batteries, as advertised.",Positive
4392,This is usually my all time favorite ice cream . There was tons of brownie but absolutely no cookie dough in my tub . I searched and searched as I was eating and no cookie dough at all. Disappointed.,Negative
18885,I was able to check all my old batteries and this work perfectly.,Positive
13247,Lasted less than a month when used in door security sensor.,Negative
7680,"I love these mango they are my favorite, less sugar more natural delicious.",Positive
13248,Pure crap. Purchase for my window sensor and each battery lasted 6 weeks or less. Other brands have lasted 6 mos - minimum! Will never buy again.,Negative
2510,"Sweet, and so fresh, I loved them! Great price, too!",Positive
2511,"Yum! Whole Foods has the best produce. So fresh, so good. Never have I received any produce from Whole Foods that isn't perfect. Always very pleased.",Positive
2512,Love me stone grape tomatoSweet all by themselves good in salad great for snack,Positive
2513,Best ever so sweet and juicy. Now pics available because I ate them.,Positive
2514,"Crisp, sweet and delicious. Highly reccomend this product.",Positive
2515,Delicious tomatoes at a reasonable price! Great snacking and cooking!!!,Positive
2516,Half a dozen withered tomatoes,Negative
2517,The tomatoes were very firm and had a nice flavor,Positive
2518,Fine,Neutral
2519,"The product was fresh, & sweet.",Positive
2520,"These were good quality grape tomatoes, not the most flavorful but red, firm and fresh.",Neutral
2521,These are always fresh and make it easy to add a fruit/vegetable to a meal without extra cooking. Great with sandwiches or home-cooked meal. Nice for holidays but we use them year round!,Positive
2522,ok,Neutral
2523,Good quantity and delicious. Eat mostly as side dish with sandwich.,Positive
2524,"And what the heck is ""warmth?""",Neutral
2525,Since our family doesn’t have a garden this year your tomatoes are the closest thing I can think of to remind our kids of previous gardening experiences,Positive
2526,Excellent product,Positive
2527,I got a flavorless one. Not sweet at all. Disappointed.,Negative
2528,"Not what I would call “sweet”. Flavor yes, but not sweet.",Negative
2529,Great produce. Very fresh. Love the home delivery service!,Positive
2530,Love its taste.!,Positive
2531,Yum,Positive
2532,WERE NOT VERY FRESH,Negative
2533,So sweet,Positive
2534,I use these tomatoes raw and cooked. I have never been disappointed.,Positive
2535,Arrived with black spots covering all tomato’s! Bummer,Negative
2536,"Sweet, sweet, fresh",Positive
2537,Mooraih,Neutral
2538,"These are so good, sweet, nice and firm. It’s my favorite way to enjoy tomatoes!",Positive
2539,Nice and fresh and juicy plump.,Positive
2540,"They're very tasty, I cut them in halves and mixed with greens for salad. Also taste great on their own! Will buy again.",Positive
2541,Wow! I love this Kombucha. Best I’ve ever had. I also bought different flavors at the grocery store and they are all delicious. Very refreshing.,Positive
2542,So delicious ! My favorite,Positive
2543,Could not appreciate it as much after knowing it contained sugar....,Negative
2544,One of my favirite kombuchas. It’s crisp and clean. Not too sweet.,Positive
2545,Love this Kombucha!,Positive
2546,"Like soda, but without nearly as much sugar and caffeine.",Positive
2547,Tasty and fuzzy!,Positive
2548,"My very favorite Kombucha. I love this one! A very light and refreshing taste. I have try a few different brands and a few different flavors from this brand as well, but this is definitely my personal favorite! Very happy I found these and will continue to buy them.",Positive
2549,"I bought this kombucha, because it was on sale, big mistake! It has a vinegar after taste. I would not buy this again even if it goes on sale again. Yuck!",Negative
2550,The best Kombucha,Positive
2551,The best flavor of this brand in my opinion. 2nd pomegranate. Could be cheaper though,Positive
2552,Love this flavor. It’s subtle and not too sweet like most fruity flavors. Easy to drink regularly.,Positive
2553,Absolutely love this. It's light and not overpowering. Super refreshing,Positive
2554,I love it and I don’t care who knows it.,Positive
2555,"Its basically vinegar, but the addition of pink lady apple juice was sheer brilliance. The sour now makes sense! This was a gateway kombucha for me.... I like most of them now....",Positive
2556,I have struggled with IBS for over 6 months and nothing has been as effective as this drink. Worked incredibly well for me and resolved most IBS symptoms.,Positive
